items,count,total,rnd,customer,age,city,paymentType
pot plants,1,2373,2,Mohamed,25,Alexandria,Credit
"tropical fruit,other vegetables,white bread,bottled water,chocolate",5,1381,2,Mohamed,25,Alexandria,Cash
"tropical fruit,root vegetables,other vegetables,frozen dessert,rolls/buns,flour,sweet spreads,salty snack,waffles,candy,bathroom cleaner",11,1762,4,Adel,50,Alexandria,Credit
"sausage,rolls/buns,soda,chocolate",4,2360,10,Samy,55,Alexandria,Credit
"citrus fruit,zwieback,newspapers",3,416,4,Adel,50,Alexandria,Cash
"sausage,rolls/buns,soda,canned beer,specialty bar,shopping bags",6,2117,10,Samy,55,Alexandria,Credit
coffee,1,1983,2,Mohamed,25,Alexandria,Cash
rolls/buns,1,2430,10,Samy,55,Alexandria,Credit
"ham,grapes,other vegetables,whole milk",4,1597,10,Samy,55,Alexandria,Cash
"whole milk,curd,yogurt,pastry",4,1026,2,Mohamed,25,Alexandria,Credit
"ham,beef,whipped/sour cream,ice cream,rolls/buns,cat food",6,384,4,Adel,50,Alexandria,Cash
"sausage,beef,whole milk",3,222,4,Adel,50,Alexandria,Credit
"rolls/buns,pastry,soda",3,1645,2,Mohamed,25,Alexandria,Cash
"curd cheese,coffee",2,2455,2,Mohamed,25,Alexandria,Cash
"tropical fruit,pip fruit,berries,whole milk,frozen potato products,rolls/buns,pickled vegetables,chocolate",8,1841,2,Mohamed,25,Alexandria,Cash
red/blush wine,1,1967,4,Adel,50,Alexandria,Cash
"frankfurter,citrus fruit,whole milk,domestic eggs,oil,sparkling wine,specialty chocolate,newspapers",8,1479,2,Mohamed,25,Alexandria,Credit
"whole milk,meat spreads,soda",3,2097,10,Samy,55,Alexandria,Credit
frozen potato products,1,1759,4,Adel,50,Alexandria,Cash
chocolate,1,702,10,Samy,55,Alexandria,Credit
"berries,yogurt",2,2353,4,Adel,50,Alexandria,Credit
"pork,hamburger meat,citrus fruit,berries,onions,whipped/sour cream,rice,coffee,chocolate",9,1364,10,Samy,55,Alexandria,Credit
"citrus fruit,tropical fruit",2,813,10,Samy,55,Alexandria,Credit
"frankfurter,rolls/buns,bottled water",3,878,10,Samy,55,Alexandria,Cash
soda,1,2087,4,Adel,50,Alexandria,Cash
"fish,other vegetables,pastry,margarine,coffee,long life bakery product,male cosmetics,shopping bags",8,312,2,Mohamed,25,Alexandria,Cash
sparkling wine,1,320,10,Samy,55,Alexandria,Cash
"frankfurter,dessert",2,1126,4,Adel,50,Alexandria,Cash
whole milk,1,2249,10,Samy,55,Alexandria,Credit
"butter milk,yogurt,honey,soda,detergent",5,2321,2,Mohamed,25,Alexandria,Cash
"sausage,pork,citrus fruit,dessert,white bread,dishes,candles",7,512,2,Mohamed,25,Alexandria,Credit
"coffee,shopping bags",2,2060,2,Mohamed,25,Alexandria,Credit
"frankfurter,soda,chewing gum",3,1352,10,Samy,55,Alexandria,Credit
"finished products,other vegetables,frozen vegetables,bottled beer",4,775,4,Adel,50,Alexandria,Credit
"hamburger meat,root vegetables,whole milk",3,2172,10,Samy,55,Alexandria,Credit
"whole milk,pastry,long life bakery product",3,1163,2,Mohamed,25,Alexandria,Credit
"frankfurter,ham,tropical fruit,pip fruit,root vegetables,other vegetables,whole milk,butter,curd,yogurt,whipped/sour cream,soft cheese,sliced cheese,cream cheese ,frozen meals,frozen fish,domestic eggs,white bread,sugar,cereals,fruit/vegetable juice,bottled beer,waffles",23,555,4,Adel,50,Alexandria,Cash
"rolls/buns,canned beer",2,2066,2,Mohamed,25,Alexandria,Credit
specialty bar,1,841,4,Adel,50,Alexandria,Cash
canned beer,1,2176,4,Adel,50,Alexandria,Credit
"whole milk,bottled water,newspapers",3,265,4,Adel,50,Alexandria,Credit
"rolls/buns,chewing gum",2,1901,10,Samy,55,Alexandria,Cash
"sausage,other vegetables,yogurt,soda,shopping bags",5,1547,2,Mohamed,25,Alexandria,Credit
"sausage,beef,citrus fruit,other vegetables,whole milk,butter milk,whipped/sour cream,beverages,hard cheese,rolls/buns,dish cleaner,cookware",12,1455,10,Samy,55,Alexandria,Cash
"misc. beverages,newspapers",2,1857,10,Samy,55,Alexandria,Credit
"sausage,sliced cheese,rolls/buns,soda,canned beer,shopping bags",6,1500,2,Mohamed,25,Alexandria,Cash
"meat,curd,bottled beer,cake bar",4,639,4,Adel,50,Alexandria,Cash
"frankfurter,meat,tropical fruit,onions,oil,baking powder,tea,cling film/bags",8,1588,10,Samy,55,Alexandria,Cash
"ice cream,rolls/buns,canned beer",3,1525,10,Samy,55,Alexandria,Credit
"meat,citrus fruit,other vegetables,curd,dessert,butter milk,beverages,cream cheese ,rolls/buns,brown bread,tea,bottled water",12,743,4,Adel,50,Alexandria,Credit
"sausage,beef,beverages,sliced cheese,rolls/buns,spices,house keeping products,flower (seeds)",8,2404,4,Adel,50,Alexandria,Cash
"root vegetables,beverages,Instant food products,pickled vegetables,detergent",5,1349,2,Mohamed,25,Alexandria,Credit
"citrus fruit,whole milk,rolls/buns",3,1541,2,Mohamed,25,Alexandria,Cash
"cream cheese ,rolls/buns,soda,chocolate",4,1542,10,Samy,55,Alexandria,Cash
soda,1,462,2,Mohamed,25,Alexandria,Credit
pork,1,1567,10,Samy,55,Alexandria,Cash
bottled water,1,852,2,Mohamed,25,Alexandria,Cash
"frankfurter,sausage,butter,whipped/sour cream,rolls/buns,margarine,spices",7,882,10,Samy,55,Alexandria,Credit
"meat,citrus fruit,berries,root vegetables,whole milk,soda",6,1959,2,Mohamed,25,Alexandria,Cash
"citrus fruit,pip fruit,root vegetables,other vegetables,whole milk,cream cheese ,domestic eggs,brown bread,margarine,baking powder,waffles",11,636,10,Samy,55,Alexandria,Cash
"hamburger meat,other vegetables,whole milk,curd,yogurt,rolls/buns,pastry,semi-finished bread,margarine,bottled water,fruit/vegetable juice",11,756,10,Samy,55,Alexandria,Cash
"frankfurter,citrus fruit,onions,other vegetables,whole milk,rolls/buns,sugar,soda",8,572,4,Adel,50,Alexandria,Cash
"beef,berries,root vegetables,whole milk,whipped/sour cream,abrasive cleaner",6,2474,2,Mohamed,25,Alexandria,Credit
