items,count,total,rnd,customer,age,city,paymentType
"tropical fruit,yogurt,coffee",3,509,12,Eman,23,Aswan,Cash
packaged fruit/vegetables,1,1737,12,Eman,23,Aswan,Cash
misc. beverages,1,194,12,Eman,23,Aswan,Credit
"sausage,pastry",2,912,12,Eman,23,Aswan,Cash
"sugar,bottled water,soda,bottled beer",4,242,12,Eman,23,Aswan,Cash
"root vegetables,whole milk,frozen vegetables,domestic eggs,rolls/buns,oil,margarine,canned vegetables,fruit/vegetable juice,bathroom cleaner",10,870,12,Eman,23,Aswan,Cash
"root vegetables,onions,hard cheese,frozen vegetables",4,454,12,Eman,23,Aswan,Cash
"whole milk,whipped/sour cream,rolls/buns,soda,waffles,candy,cling film/bags",7,144,12,Eman,23,Aswan,Cash
"tropical fruit,pip fruit",2,163,12,Eman,23,Aswan,Credit
"finished products,white wine,shopping bags",3,427,12,Eman,23,Aswan,Credit
soda,1,2085,12,Eman,23,Aswan,Credit
"frankfurter,citrus fruit,UHT-milk,margarine,sugar",5,1343,12,Eman,23,Aswan,Credit
canned beer,1,1938,12,Eman,23,Aswan,Cash
"citrus fruit,curd,pastry,margarine,sugar,candy,newspapers",7,2212,12,Eman,23,Aswan,Credit
"pork,berries,root vegetables,other vegetables,pastry,specialty bar",6,2139,12,Eman,23,Aswan,Credit
fruit/vegetable juice,1,813,12,Eman,23,Aswan,Cash
"citrus fruit,other vegetables,rolls/buns,salty snack,shopping bags",5,269,12,Eman,23,Aswan,Cash
"beef,white bread,pastry,pasta,soap",5,1149,12,Eman,23,Aswan,Cash
photo/film,1,2275,12,Eman,23,Aswan,Credit
"margarine,hygiene articles",2,1673,12,Eman,23,Aswan,Credit
frozen vegetables,1,1547,12,Eman,23,Aswan,Cash
"yogurt,chocolate",2,239,12,Eman,23,Aswan,Cash
"beef,berries,whipped/sour cream,domestic eggs,rolls/buns",5,439,12,Eman,23,Aswan,Credit
"bottled water,canned beer",2,707,12,Eman,23,Aswan,Cash
Instant food products,1,903,12,Eman,23,Aswan,Cash
specialty chocolate,1,1023,12,Eman,23,Aswan,Cash
"other vegetables,packaged fruit/vegetables,UHT-milk,bottled water",4,2092,12,Eman,23,Aswan,Credit
"ham,mustard,canned fish",3,1265,12,Eman,23,Aswan,Cash
"citrus fruit,other vegetables,soda",3,576,12,Eman,23,Aswan,Cash
"hamburger meat,root vegetables,other vegetables,whole milk,rolls/buns",5,1036,12,Eman,23,Aswan,Cash
"packaged fruit/vegetables,seasonal products",2,223,12,Eman,23,Aswan,Credit
"white bread,bottled water,soda,waffles",4,983,12,Eman,23,Aswan,Credit
"tropical fruit,root vegetables,whole milk,frozen vegetables,honey,baking powder,coffee,red/blush wine,chocolate marshmallow",9,651,12,Eman,23,Aswan,Cash
"root vegetables,other vegetables",2,2472,12,Eman,23,Aswan,Credit
specialty chocolate,1,493,12,Eman,23,Aswan,Credit
canned beer,1,147,12,Eman,23,Aswan,Credit
"frozen vegetables,bottled beer",2,892,12,Eman,23,Aswan,Cash
"whole milk,red/blush wine",2,1307,12,Eman,23,Aswan,Credit
specialty bar,1,211,12,Eman,23,Aswan,Credit
canned beer,1,2218,12,Eman,23,Aswan,Cash
"pip fruit,whole milk,canned fish",3,558,12,Eman,23,Aswan,Credit
"meat,pork,beef,citrus fruit,root vegetables,other vegetables,whole milk,pickled vegetables",8,925,12,Eman,23,Aswan,Cash
"beef,citrus fruit,berries,brown bread,sugar,coffee,kitchen towels",7,1762,12,Eman,23,Aswan,Cash
"beef,citrus fruit,other vegetables,butter milk,sliced cheese,processed cheese,rolls/buns,margarine,bottled water,fruit/vegetable juice",10,1175,12,Eman,23,Aswan,Credit
"chicken,hamburger meat,herbs,whipped/sour cream,soups,soda,canned beer,dish cleaner,napkins,cling film/bags",10,2215,12,Eman,23,Aswan,Cash
"frankfurter,ham,whole milk,yogurt,rolls/buns,pastry,vinegar,sugar,soda,fruit/vegetable juice,napkins",11,403,12,Eman,23,Aswan,Cash
"sausage,whole milk,rolls/buns,coffee,chocolate",5,873,12,Eman,23,Aswan,Credit
"sausage,turkey,other vegetables,yogurt,brown bread,oil,hygiene articles,shopping bags",8,636,12,Eman,23,Aswan,Cash
"bottled water,soda",2,626,12,Eman,23,Aswan,Credit
"frankfurter,grapes,other vegetables,butter milk,UHT-milk,brown bread,margarine,organic products,bottled water,soda",10,411,12,Eman,23,Aswan,Credit
"berries,other vegetables,whipped/sour cream,UHT-milk,bottled water,soda,hygiene articles,newspapers",8,611,12,Eman,23,Aswan,Cash
"frankfurter,pork,beverages,frozen meals,waffles",5,1020,12,Eman,23,Aswan,Credit
"whole milk,yogurt,frozen vegetables,coffee,canned beer,napkins",6,587,12,Eman,23,Aswan,Credit
"sausage,rolls/buns,specialty chocolate",3,290,12,Eman,23,Aswan,Cash
"potato products,flower (seeds)",2,2120,12,Eman,23,Aswan,Cash
"root vegetables,onions,yogurt,rolls/buns,coffee,bottled water,dishes",7,232,12,Eman,23,Aswan,Credit
"fish,cream cheese ,coffee",3,2018,12,Eman,23,Aswan,Cash
"citrus fruit,tropical fruit,pip fruit,other vegetables",4,2119,12,Eman,23,Aswan,Credit
newspapers,1,1273,12,Eman,23,Aswan,Cash
"onions,herbs,bottled beer",3,1246,12,Eman,23,Aswan,Cash
photo/film,1,1763,12,Eman,23,Aswan,Cash
chocolate,1,457,12,Eman,23,Aswan,Credit
"tropical fruit,pastry,canned beer,chocolate",4,440,12,Eman,23,Aswan,Credit
grapes,1,984,12,Eman,23,Aswan,Cash
"frankfurter,onions,butter,processed cheese,rolls/buns,coffee,bottled beer",7,852,12,Eman,23,Aswan,Credit
"frankfurter,whole milk,coffee,detergent",4,2083,12,Eman,23,Aswan,Cash
"whole milk,newspapers",2,1667,12,Eman,23,Aswan,Credit
"rolls/buns,long life bakery product",2,1617,12,Eman,23,Aswan,Credit
"UHT-milk,bottled water",2,1409,12,Eman,23,Aswan,Cash
"sausage,citrus fruit,pip fruit,root vegetables,other vegetables,whole milk,yogurt,whipped/sour cream,spread cheese,frozen vegetables,pastry,instant coffee,soda,fruit/vegetable juice,hygiene articles",15,450,12,Eman,23,Aswan,Credit
"bottled water,soda",2,1238,12,Eman,23,Aswan,Credit
red/blush wine,1,1738,12,Eman,23,Aswan,Credit
"meat,other vegetables,packaged fruit/vegetables,cream cheese ,margarine,bottled water,salty snack",7,881,12,Eman,23,Aswan,Cash
photo/film,1,1440,12,Eman,23,Aswan,Credit
"frankfurter,tropical fruit,butter,whipped/sour cream,frozen vegetables,rolls/buns,sugar,baking powder,bottled water,misc. beverages,long life bakery product,newspapers",12,2105,12,Eman,23,Aswan,Credit
"citrus fruit,cake bar,baby cosmetics,shopping bags",4,1586,12,Eman,23,Aswan,Cash
"sausage,meat,butter,domestic eggs,cat food",5,1541,12,Eman,23,Aswan,Credit
"yogurt,softener",2,1977,12,Eman,23,Aswan,Credit
"curd,whipped/sour cream,flour,baking powder,newspapers",5,1940,12,Eman,23,Aswan,Cash
"whipped/sour cream,beverages,fruit/vegetable juice,chocolate",4,1587,12,Eman,23,Aswan,Credit
"red/blush wine,specialty chocolate",2,1215,12,Eman,23,Aswan,Credit
"beverages,pastry,long life bakery product,chocolate marshmallow",4,1194,12,Eman,23,Aswan,Credit
"butter,waffles,chocolate",3,1624,12,Eman,23,Aswan,Credit
"beef,root vegetables,whole milk,butter milk,yogurt,beverages,cream cheese ,sweet spreads,soda,chocolate",10,267,12,Eman,23,Aswan,Credit
"citrus fruit,onions,other vegetables,whole milk,cream cheese ,domestic eggs,sugar,bottled water,bottled beer,long life bakery product,seasonal products,napkins",12,1676,12,Eman,23,Aswan,Cash
"whole milk,bottled water,soda,canned beer",4,1780,12,Eman,23,Aswan,Cash
"chicken,whole milk",2,1274,12,Eman,23,Aswan,Cash
"root vegetables,whole milk,butter,domestic eggs,flour,oil,sugar,baking powder,white wine,specialty chocolate,shopping bags",11,1978,12,Eman,23,Aswan,Cash
canned beer,1,2054,12,Eman,23,Aswan,Cash
whipped/sour cream,1,2177,12,Eman,23,Aswan,Credit
"rolls/buns,soda",2,120,12,Eman,23,Aswan,Cash
"sausage,fish,other vegetables,brown bread,shopping bags",5,1203,12,Eman,23,Aswan,Credit
"frankfurter,brown bread,sugar",3,1844,12,Eman,23,Aswan,Credit
