items,count,total,rnd,customer,age,city,paymentType
"other vegetables,UHT-milk,rolls/buns,bottled beer,liquor (appetizer)",5,1657,6,Walaa,29,Cairo,Cash
"citrus fruit,tropical fruit,whole milk,butter,curd,yogurt,flour,bottled water,dishes",9,1965,1,Farida,22,Cairo,Credit
"chicken,tropical fruit",2,1579,13,Sayed,37,Cairo,Credit
chocolate,1,184,6,Walaa,29,Cairo,Cash
yogurt,1,599,1,Farida,22,Cairo,Cash
other vegetables,1,1906,1,Farida,22,Cairo,Credit
"brown bread,soda,fruit/vegetable juice,canned beer,newspapers,shopping bags",6,391,13,Sayed,37,Cairo,Cash
"beef,grapes,detergent",3,148,13,Sayed,37,Cairo,Credit
canned beer,1,1465,6,Walaa,29,Cairo,Credit
"root vegetables,other vegetables,whole milk,dessert",4,2374,6,Walaa,29,Cairo,Credit
"tropical fruit,root vegetables,whole milk,yogurt,domestic eggs,brown bread,pastry,sugar,cereals,coffee,soda,waffles,candy",13,1287,13,Sayed,37,Cairo,Cash
"pastry,bottled water",2,730,1,Farida,22,Cairo,Credit
whole milk,1,453,1,Farida,22,Cairo,Credit
"flour,salt,bottled water,fruit/vegetable juice,bottled beer",5,2079,1,Farida,22,Cairo,Credit
"herbs,condensed milk,frozen vegetables,salt,oil,white wine,candles",7,328,13,Sayed,37,Cairo,Credit
soda,1,748,6,Walaa,29,Cairo,Cash
"fruit/vegetable juice,salty snack,candles",3,1133,1,Farida,22,Cairo,Credit
"sausage,sliced cheese,rolls/buns,brown bread,fruit/vegetable juice,canned beer,red/blush wine,waffles,shopping bags",9,2213,1,Farida,22,Cairo,Credit
"chicken,hamburger meat,citrus fruit,tropical fruit,root vegetables,other vegetables,butter,pasta,oil,detergent",10,940,6,Walaa,29,Cairo,Credit
"sausage,pork,grapes,whole milk,rolls/buns,pastry,soda,specialty bar,bathroom cleaner",9,838,6,Walaa,29,Cairo,Credit
"sausage,whole milk,yogurt,coffee,fruit/vegetable juice,bottled beer,softener,napkins,photo/film,shopping bags",10,1695,1,Farida,22,Cairo,Credit
processed cheese,1,764,6,Walaa,29,Cairo,Cash
"tropical fruit,whole milk,yogurt",3,578,13,Sayed,37,Cairo,Credit
"frankfurter,sausage,long life bakery product,waffles",4,1721,13,Sayed,37,Cairo,Cash
"packaged fruit/vegetables,dessert,semi-finished bread,canned beer",4,918,6,Walaa,29,Cairo,Cash
"pastry,soda",2,119,6,Walaa,29,Cairo,Cash
"sausage,butter milk,rolls/buns",3,2403,6,Walaa,29,Cairo,Cash
"whole milk,yogurt,beverages,brown bread,shopping bags",5,1316,6,Walaa,29,Cairo,Cash
canned beer,1,111,1,Farida,22,Cairo,Credit
"pasta,popcorn",2,1290,6,Walaa,29,Cairo,Credit
"other vegetables,whole milk,meat spreads,cake bar,chocolate,shopping bags",6,2386,13,Sayed,37,Cairo,Cash
rolls/buns,1,1894,13,Sayed,37,Cairo,Credit
"grapes,other vegetables,curd,dessert,yogurt,napkins",6,311,1,Farida,22,Cairo,Cash
"root vegetables,other vegetables,whole milk,yogurt,beverages,soft cheese,frozen vegetables,fruit/vegetable juice,bottled beer",9,364,6,Walaa,29,Cairo,Cash
"beef,herbs,flour,cling film/bags,flower soil/fertilizer",5,596,6,Walaa,29,Cairo,Cash
"whole milk,butter,dessert,rolls/buns",4,1649,6,Walaa,29,Cairo,Credit
"beverages,soda",2,169,6,Walaa,29,Cairo,Cash
other vegetables,1,650,6,Walaa,29,Cairo,Credit
"soda,bottled beer,white wine,prosecco",4,1922,1,Farida,22,Cairo,Credit
"herbs,candy",2,1646,13,Sayed,37,Cairo,Credit
"frankfurter,tropical fruit,whole milk,spread cheese,margarine,shopping bags",6,964,6,Walaa,29,Cairo,Cash
"beef,berries,root vegetables,whole milk,dessert,spread cheese,brown bread",7,113,13,Sayed,37,Cairo,Credit
specialty chocolate,1,828,13,Sayed,37,Cairo,Cash
"whole milk,beverages,UHT-milk,soda",4,441,13,Sayed,37,Cairo,Cash
"sausage,pork,beef,whole milk,rolls/buns,margarine",6,1790,6,Walaa,29,Cairo,Cash
"bottled water,fruit/vegetable juice",2,543,13,Sayed,37,Cairo,Credit
"cleaner,female sanitary products",2,1828,6,Walaa,29,Cairo,Credit
"sausage,soda,newspapers,shopping bags",4,1961,1,Farida,22,Cairo,Credit
"frankfurter,sausage,root vegetables,butter,curd,sliced cheese,rolls/buns,salty snack,long life bakery product",9,948,6,Walaa,29,Cairo,Credit
"sausage,oil,hygiene articles,napkins",4,282,13,Sayed,37,Cairo,Cash
"rolls/buns,soda",2,2494,13,Sayed,37,Cairo,Cash
liquor,1,1875,13,Sayed,37,Cairo,Cash
soda,1,959,6,Walaa,29,Cairo,Cash
"sausage,citrus fruit,tropical fruit,other vegetables,whole milk,yogurt,rolls/buns,bottled water,soda,chocolate,newspapers",11,1361,6,Walaa,29,Cairo,Cash
"tropical fruit,pip fruit,onions,other vegetables,whole milk,domestic eggs,sugar,soups,tea,soda,hygiene articles,napkins",12,1044,13,Sayed,37,Cairo,Credit
"packaged fruit/vegetables,whole milk,curd,yogurt,domestic eggs,brown bread,mustard,pickled vegetables,bottled water,misc. beverages",10,1026,13,Sayed,37,Cairo,Cash
canned beer,1,2370,13,Sayed,37,Cairo,Cash
"citrus fruit,sugar,sauces",3,2299,13,Sayed,37,Cairo,Cash
"sausage,chicken,tropical fruit,root vegetables,whole milk,yogurt,candy,abrasive cleaner,cleaner",9,140,1,Farida,22,Cairo,Credit
"pork,citrus fruit,brown bread,pastry,sugar,cat food",6,1112,1,Farida,22,Cairo,Credit
"tropical fruit,soda,salty snack",3,539,6,Walaa,29,Cairo,Credit
"grapes,root vegetables",2,1798,1,Farida,22,Cairo,Credit
"domestic eggs,brown bread,photo/film",3,398,13,Sayed,37,Cairo,Credit
chicken,1,631,6,Walaa,29,Cairo,Cash
"tropical fruit,yogurt,rolls/buns,soda,shopping bags",5,526,13,Sayed,37,Cairo,Cash
"ham,other vegetables,whipped/sour cream,hard cheese,rolls/buns,soda,misc. beverages,chocolate,candy",9,2268,13,Sayed,37,Cairo,Credit
bottled water,1,1098,1,Farida,22,Cairo,Credit
"sausage,citrus fruit,whole milk,canned beer",4,824,13,Sayed,37,Cairo,Cash
"frankfurter,rolls/buns",2,730,13,Sayed,37,Cairo,Cash
"root vegetables,whole milk,butter,processed cheese,mayonnaise,salty snack",6,952,13,Sayed,37,Cairo,Cash
"tropical fruit,whole milk,frozen meals,bottled beer",4,1157,13,Sayed,37,Cairo,Credit
"whole milk,soda",2,626,6,Walaa,29,Cairo,Cash
"rolls/buns,bottled beer",2,107,1,Farida,22,Cairo,Credit
"whole milk,hygiene articles",2,447,13,Sayed,37,Cairo,Cash
"citrus fruit,whole milk,curd,soft cheese",4,1396,1,Farida,22,Cairo,Credit
"berries,root vegetables,other vegetables,packaged fruit/vegetables,whole milk,curd,curd cheese,cat food,specialty bar,detergent",10,2052,13,Sayed,37,Cairo,Cash
"root vegetables,packaged fruit/vegetables,curd,dessert,frozen vegetables,specialty fat,coffee",7,2245,13,Sayed,37,Cairo,Cash
"bottled beer,liquor",2,559,13,Sayed,37,Cairo,Cash
"sausage,liver loaf,other vegetables,cream cheese ,pastry,soap,shopping bags",7,674,1,Farida,22,Cairo,Credit
"hard cheese,pastry,napkins",3,1819,1,Farida,22,Cairo,Credit
"tropical fruit,other vegetables",2,1593,6,Walaa,29,Cairo,Cash
"baking powder,bottled water,salty snack,chewing gum",4,1816,13,Sayed,37,Cairo,Cash
"other vegetables,pet care",2,1189,13,Sayed,37,Cairo,Cash
"tropical fruit,other vegetables,rolls/buns",3,2455,1,Farida,22,Cairo,Credit
"beef,other vegetables,whole milk,frozen potato products,rolls/buns,oil,margarine,coffee,dental care,hygiene articles,newspapers",11,1525,13,Sayed,37,Cairo,Credit
soda,1,1126,1,Farida,22,Cairo,Cash
"pork,ice cream,hygiene articles,house keeping products",4,1050,13,Sayed,37,Cairo,Cash
"bottled water,misc. beverages,cling film/bags",3,2095,6,Walaa,29,Cairo,Cash
"tropical fruit,other vegetables,packaged fruit/vegetables,whole milk,hard cheese,frozen dessert,rice,bottled water",8,1050,1,Farida,22,Cairo,Credit
bottled water,1,449,6,Walaa,29,Cairo,Credit
"brown bread,soda,salty snack,shopping bags",4,630,13,Sayed,37,Cairo,Cash
"soda,misc. beverages",2,373,1,Farida,22,Cairo,Cash
"white bread,brown bread",2,911,6,Walaa,29,Cairo,Credit
domestic eggs,1,1143,1,Farida,22,Cairo,Cash
bottled beer,1,430,1,Farida,22,Cairo,Credit
"other vegetables,margarine",2,1911,6,Walaa,29,Cairo,Credit
"pork,pip fruit,whole milk,butter milk",4,680,6,Walaa,29,Cairo,Credit
frankfurter,1,1627,1,Farida,22,Cairo,Credit
"frankfurter,tropical fruit,pip fruit,curd,UHT-milk,hard cheese,domestic eggs,rolls/buns,hygiene articles,napkins,shopping bags",11,431,1,Farida,22,Cairo,Cash
other vegetables,1,335,1,Farida,22,Cairo,Credit
whole milk,1,2082,6,Walaa,29,Cairo,Cash
"hamburger meat,domestic eggs",2,1207,13,Sayed,37,Cairo,Cash
canned beer,1,1536,6,Walaa,29,Cairo,Cash
