items,count,total,rnd,customer,age,city,paymentType
whole milk,1,2084,8,Rania,37,Dakahlia,Cash
"pip fruit,yogurt,cream cheese ,meat spreads",4,788,8,Rania,37,Dakahlia,Cash
"butter,sugar,fruit/vegetable juice,newspapers",4,585,8,Rania,37,Dakahlia,Credit
"pork,berries,other vegetables,whole milk,whipped/sour cream,artif. sweetener,soda,abrasive cleaner",8,988,8,Rania,37,Dakahlia,Credit
"pastry,soda",2,1009,8,Rania,37,Dakahlia,Credit
"butter milk,yogurt,cream cheese ,spread cheese,rolls/buns,bottled water,soda,newspapers",8,1413,8,Rania,37,Dakahlia,Credit
"rolls/buns,pastry,sugar",3,1743,8,Rania,37,Dakahlia,Cash
"grapes,photo/film",2,1737,8,Rania,37,Dakahlia,Credit
"whole milk,cream cheese ,soda",3,2289,8,Rania,37,Dakahlia,Credit
"whole milk,cream cheese ,cereals,dog food",4,2028,8,Rania,37,Dakahlia,Credit
"ham,whole milk,rolls/buns",3,2307,8,Rania,37,Dakahlia,Credit
"rolls/buns,pastry,soda",3,2319,8,Rania,37,Dakahlia,Cash
"butter,yogurt,bottled water,soda,make up remover,hygiene articles",6,2178,8,Rania,37,Dakahlia,Cash
"turkey,beef,frozen vegetables,dishes,photo/film",5,577,8,Rania,37,Dakahlia,Cash
"whole milk,beverages",2,799,8,Rania,37,Dakahlia,Cash
"whole milk,frozen meals,pastry,fruit/vegetable juice,waffles",5,2383,8,Rania,37,Dakahlia,Credit
candy,1,1051,8,Rania,37,Dakahlia,Cash
"tropical fruit,packaged fruit/vegetables,cream cheese ,white bread,candy",5,2247,8,Rania,37,Dakahlia,Cash
"rolls/buns,canned fish,canned beer",3,468,8,Rania,37,Dakahlia,Credit
shopping bags,1,1134,8,Rania,37,Dakahlia,Cash
"whipped/sour cream,canned beer,red/blush wine",3,608,8,Rania,37,Dakahlia,Cash
newspapers,1,1711,8,Rania,37,Dakahlia,Cash
sliced cheese,1,2031,8,Rania,37,Dakahlia,Credit
"sausage,whole milk,coffee",3,2048,8,Rania,37,Dakahlia,Credit
"domestic eggs,rolls/buns,dish cleaner,hygiene articles",4,279,8,Rania,37,Dakahlia,Cash
whole milk,1,157,8,Rania,37,Dakahlia,Cash
"other vegetables,whole milk,rolls/buns,Instant food products",4,1601,8,Rania,37,Dakahlia,Cash
"soda,chewing gum",2,2235,8,Rania,37,Dakahlia,Credit
whole milk,1,475,8,Rania,37,Dakahlia,Credit
"whole milk,oil,canned fruit,fruit/vegetable juice",4,1723,8,Rania,37,Dakahlia,Cash
"soda,misc. beverages",2,1977,8,Rania,37,Dakahlia,Cash
"bottled water,canned beer,male cosmetics",3,415,8,Rania,37,Dakahlia,Credit
"herbs,bottled water",2,2118,8,Rania,37,Dakahlia,Credit
"other vegetables,salty snack",2,2153,8,Rania,37,Dakahlia,Cash
"citrus fruit,berries,other vegetables,butter milk,sugar,fruit/vegetable juice,hygiene articles",7,481,8,Rania,37,Dakahlia,Cash
"frankfurter,rolls/buns",2,285,8,Rania,37,Dakahlia,Credit
whole milk,1,2070,8,Rania,37,Dakahlia,Credit
"curd,whipped/sour cream,rolls/buns,zwieback,spices",5,1704,8,Rania,37,Dakahlia,Cash
"frozen vegetables,bottled beer,liquor (appetizer),chewing gum,napkins,newspapers",6,1117,8,Rania,37,Dakahlia,Credit
canned beer,1,1497,8,Rania,37,Dakahlia,Credit
"sausage,meat,other vegetables,whole milk,yogurt,rolls/buns,soda,bottled beer,chocolate,newspapers",10,689,8,Rania,37,Dakahlia,Cash
soda,1,1785,8,Rania,37,Dakahlia,Cash
"hamburger meat,whole milk,oil,ketchup,soups,Instant food products,canned fish,coffee,bottled beer,hygiene articles,newspapers",11,2184,8,Rania,37,Dakahlia,Cash
"whole milk,hard cheese,chocolate marshmallow",3,1570,8,Rania,37,Dakahlia,Credit
"tropical fruit,pastry,flour,rum",4,1980,8,Rania,37,Dakahlia,Credit
"dessert,beverages,bottled water",3,1478,8,Rania,37,Dakahlia,Credit
"pork,tropical fruit,rolls/buns,semi-finished bread,bottled beer,newspapers",6,765,8,Rania,37,Dakahlia,Cash
"chicken,other vegetables,packaged fruit/vegetables,condensed milk,frozen vegetables,fruit/vegetable juice",6,1181,8,Rania,37,Dakahlia,Credit
"grapes,other vegetables,zwieback,Instant food products,dishes",5,912,8,Rania,37,Dakahlia,Credit
"tropical fruit,whole milk,rolls/buns",3,719,8,Rania,37,Dakahlia,Cash
"root vegetables,onions,other vegetables,packaged fruit/vegetables,whole milk,whipped/sour cream,frozen vegetables,rolls/buns,pasta,soups,baking powder,soda,detergent",13,405,8,Rania,37,Dakahlia,Cash
"beef,whole milk,frozen vegetables,brown bread,pastry,coffee",6,1026,8,Rania,37,Dakahlia,Cash
"citrus fruit,root vegetables,whole milk,butter,whipped/sour cream,oil,mustard,bottled water,bottled beer",9,2354,8,Rania,37,Dakahlia,Credit
"citrus fruit,herbs,whole milk,bottled water,bottled beer,pot plants",6,2260,8,Rania,37,Dakahlia,Credit
"frankfurter,soda",2,112,8,Rania,37,Dakahlia,Cash
"citrus fruit,other vegetables,packaged fruit/vegetables,whole milk,butter,whipped/sour cream,flour,sugar,coffee,soda,sparkling wine,dishes",12,731,8,Rania,37,Dakahlia,Cash
"chicken,pork,other vegetables,whole milk,whipped/sour cream,UHT-milk,domestic eggs,rolls/buns,bottled water,soda,fruit/vegetable juice,bottled beer",12,481,8,Rania,37,Dakahlia,Credit
"frankfurter,citrus fruit,tropical fruit,rolls/buns",4,1286,8,Rania,37,Dakahlia,Cash
"other vegetables,misc. beverages",2,1094,8,Rania,37,Dakahlia,Credit
