items,count,total,rnd,customer,age,city,paymentType
beef,1,784,11,Hanan,22,Fayoum,Cash
"packaged fruit/vegetables,brown bread,canned beer",3,2236,11,Hanan,22,Fayoum,Cash
"other vegetables,whole milk,frozen vegetables,canned fish,salty snack,seasonal products,detergent",7,2146,11,Hanan,22,Fayoum,Credit
curd cheese,1,717,11,Hanan,22,Fayoum,Credit
newspapers,1,1854,11,Hanan,22,Fayoum,Cash
"frankfurter,ham,pip fruit,other vegetables,whole milk,soft cheese,frozen vegetables,rolls/buns,sugar,baking powder",10,1379,11,Hanan,22,Fayoum,Credit
"ham,tropical fruit,other vegetables,whole milk,white bread,brown bread,fruit/vegetable juice,bottled beer",8,1201,11,Hanan,22,Fayoum,Cash
bottled beer,1,280,11,Hanan,22,Fayoum,Credit
"other vegetables,ice cream",2,2103,11,Hanan,22,Fayoum,Cash
"curd,cream cheese ,semi-finished bread,zwieback,cake bar,specialty bar,shopping bags",7,853,11,Hanan,22,Fayoum,Credit
"curd,salt,liquor (appetizer),detergent,shopping bags",5,1544,11,Hanan,22,Fayoum,Cash
"sausage,bottled beer,liquor (appetizer)",3,2461,11,Hanan,22,Fayoum,Credit
"curd,rolls/buns",2,1076,11,Hanan,22,Fayoum,Cash
canned beer,1,1961,11,Hanan,22,Fayoum,Credit
"pork,root vegetables,other vegetables,whole milk,dishes",5,1702,11,Hanan,22,Fayoum,Cash
pot plants,1,876,11,Hanan,22,Fayoum,Cash
"meat,other vegetables,butter,rolls/buns",4,2413,11,Hanan,22,Fayoum,Cash
ice cream,1,2186,11,Hanan,22,Fayoum,Credit
"frankfurter,rolls/buns,bottled water,fruit/vegetable juice,hygiene articles",5,906,11,Hanan,22,Fayoum,Cash
"chicken,pip fruit,other vegetables,whole milk,dessert,yogurt,whipped/sour cream,rolls/buns,pasta,soda,waffles",11,2371,11,Hanan,22,Fayoum,Credit
sausage,1,2035,11,Hanan,22,Fayoum,Credit
"chicken,whole milk,spices,long life bakery product,shopping bags",5,416,11,Hanan,22,Fayoum,Cash
"meat,hard cheese,bottled beer",3,143,11,Hanan,22,Fayoum,Cash
"other vegetables,yogurt,brown bread,instant coffee",4,591,11,Hanan,22,Fayoum,Credit
"hamburger meat,white bread,salty snack",3,923,11,Hanan,22,Fayoum,Cash
yogurt,1,1761,11,Hanan,22,Fayoum,Cash
"berries,coffee",2,1274,11,Hanan,22,Fayoum,Credit
"ham,citrus fruit,whole milk,whipped/sour cream,rolls/buns,pastry,waffles,hygiene articles",8,1893,11,Hanan,22,Fayoum,Cash
"onions,butter,whipped/sour cream,hard cheese,frozen vegetables,pasta,specialty fat,syrup,candy,napkins,cling film/bags",11,400,11,Hanan,22,Fayoum,Credit
