items,count,total,rnd,customer,age,city,paymentType
rolls/buns,1,2196,7,Huda,39,Gharbia,Cash
"frankfurter,rolls/buns,soda",3,1001,7,Huda,39,Gharbia,Credit
specialty bar,1,469,7,Huda,39,Gharbia,Cash
"butter milk,pastry",2,2252,7,Huda,39,Gharbia,Credit
"frozen meals,coffee",2,1083,7,Huda,39,Gharbia,Credit
berries,1,705,7,Huda,39,Gharbia,Cash
"packaged fruit/vegetables,bottled water",2,623,7,Huda,39,Gharbia,Credit
"other vegetables,red/blush wine",2,554,7,Huda,39,Gharbia,Credit
"curd,flour,liquor (appetizer)",3,1103,7,Huda,39,Gharbia,Credit
other vegetables,1,1983,7,Huda,39,Gharbia,Credit
"root vegetables,herbs,other vegetables,whole milk,sliced cheese,rolls/buns",6,529,7,Huda,39,Gharbia,Cash
"whole milk,whipped/sour cream,semi-finished bread,margarine",4,183,7,Huda,39,Gharbia,Cash
"frankfurter,beef,hamburger meat,grapes,root vegetables,whole milk,butter,frozen dessert,potato products,bottled water,bottled beer",11,1146,7,Huda,39,Gharbia,Credit
"sausage,pip fruit,whole milk,curd,yogurt,sliced cheese,rolls/buns,bottled water,hygiene articles",9,905,7,Huda,39,Gharbia,Credit
"tropical fruit,root vegetables,herbs,whole milk,butter milk,whipped/sour cream,flour,hygiene articles",8,516,7,Huda,39,Gharbia,Cash
"chicken,citrus fruit,tropical fruit,root vegetables,whole milk,frozen fish,rolls/buns",7,1781,7,Huda,39,Gharbia,Credit
"hamburger meat,root vegetables,other vegetables,whole milk,yogurt,whipped/sour cream,specialty cheese,flour,margarine",9,267,7,Huda,39,Gharbia,Cash
"UHT-milk,coffee",2,2279,7,Huda,39,Gharbia,Cash
"bottled water,cake bar",2,2470,7,Huda,39,Gharbia,Credit
newspapers,1,1644,7,Huda,39,Gharbia,Credit
"beef,hamburger meat,pip fruit",3,2013,7,Huda,39,Gharbia,Credit
"pork,citrus fruit,tropical fruit,root vegetables,other vegetables,curd,hygiene articles",7,1498,7,Huda,39,Gharbia,Cash
"pork,citrus fruit,pip fruit,yogurt,fruit/vegetable juice,sparkling wine",6,2486,7,Huda,39,Gharbia,Cash
"citrus fruit,tropical fruit,root vegetables,yogurt,canned vegetables,bottled water,soda,softener",8,2071,7,Huda,39,Gharbia,Credit
"berries,packaged fruit/vegetables,whole milk,ice cream,fruit/vegetable juice,salty snack,specialty bar",7,708,7,Huda,39,Gharbia,Credit
"frankfurter,root vegetables,pickled vegetables,soda,seasonal products",5,2134,7,Huda,39,Gharbia,Cash
"frankfurter,soda",2,2259,7,Huda,39,Gharbia,Credit
specialty bar,1,903,7,Huda,39,Gharbia,Cash
"pip fruit,white wine,shopping bags",3,318,7,Huda,39,Gharbia,Credit
"tropical fruit,root vegetables,coffee,bottled water,red/blush wine,candy,house keeping products,shopping bags",8,1489,7,Huda,39,Gharbia,Cash
"yogurt,bottled water,dishes",3,114,7,Huda,39,Gharbia,Credit
"whole milk,yogurt,frozen potato products,margarine,bottled water,fruit/vegetable juice,salty snack",7,206,7,Huda,39,Gharbia,Credit
"herbs,yogurt",2,1655,7,Huda,39,Gharbia,Cash
whole milk,1,660,7,Huda,39,Gharbia,Credit
"sausage,dish cleaner,dishes",3,1787,7,Huda,39,Gharbia,Credit
soap,1,2006,7,Huda,39,Gharbia,Credit
"rolls/buns,canned beer",2,1713,7,Huda,39,Gharbia,Credit
"citrus fruit,other vegetables,whole milk,curd,yogurt,potato products,fruit/vegetable juice,long life bakery product",8,2324,7,Huda,39,Gharbia,Cash
"curd,UHT-milk,artif. sweetener,dental care",4,1138,7,Huda,39,Gharbia,Credit
"beef,berries,onions,rolls/buns",4,1698,7,Huda,39,Gharbia,Credit
rolls/buns,1,451,7,Huda,39,Gharbia,Credit
"tropical fruit,onions,whole milk,butter,dishes",5,570,7,Huda,39,Gharbia,Credit
"spread cheese,rolls/buns,bottled water,newspapers",4,2290,7,Huda,39,Gharbia,Cash
"tropical fruit,spread cheese,rolls/buns,soda",4,564,7,Huda,39,Gharbia,Credit
"whole milk,yogurt,bottled beer,white wine,salty snack,napkins",6,2234,7,Huda,39,Gharbia,Cash
"chicken,onions,herbs,hygiene articles",4,115,7,Huda,39,Gharbia,Cash
"frankfurter,chicken,pork,citrus fruit,other vegetables,whole milk,butter milk,whipped/sour cream,cream cheese ,frozen dessert,domestic eggs,rolls/buns,sugar,baking powder",14,835,7,Huda,39,Gharbia,Cash
bottled beer,1,1474,7,Huda,39,Gharbia,Credit
"root vegetables,whole milk,butter,coffee",4,578,7,Huda,39,Gharbia,Credit
yogurt,1,950,7,Huda,39,Gharbia,Credit
bottled water,1,1394,7,Huda,39,Gharbia,Credit
"fish,berries,other vegetables,whole milk,dessert,yogurt,spread cheese,coffee,white wine,red/blush wine",10,182,7,Huda,39,Gharbia,Credit
"beef,tropical fruit,root vegetables,herbs,other vegetables,whole milk,yogurt,hard cheese,rolls/buns,brown bread,bottled water,bottled beer,salty snack,shopping bags",14,1192,7,Huda,39,Gharbia,Cash
"beef,root vegetables,whole milk,cream cheese ",4,1950,7,Huda,39,Gharbia,Credit
"beef,hamburger meat,berries,pastry,hygiene articles",5,1114,7,Huda,39,Gharbia,Credit
"sausage,grapes,rolls/buns,soda,salty snack",5,1594,7,Huda,39,Gharbia,Cash
"tropical fruit,other vegetables,whole milk,yogurt,soft cheese,hard cheese,spread cheese,curd cheese,frozen vegetables,ice cream,pastry,coffee,fruit/vegetable juice,hygiene articles",14,519,7,Huda,39,Gharbia,Credit
canned beer,1,379,7,Huda,39,Gharbia,Credit
"beef,grapes,berries,whole milk,yogurt,rolls/buns,newspapers,pot plants",8,997,7,Huda,39,Gharbia,Credit
"rolls/buns,coffee,instant coffee,salty snack,specialty chocolate",5,898,7,Huda,39,Gharbia,Credit
"frankfurter,citrus fruit,whole milk,yogurt,sliced cheese,specialty cheese,pastry,fruit/vegetable juice",8,1369,7,Huda,39,Gharbia,Cash
"curd,yogurt,spread cheese,sugar,canned vegetables",5,1494,7,Huda,39,Gharbia,Credit
"artif. sweetener,soda,photo/film",3,1227,7,Huda,39,Gharbia,Cash
"tropical fruit,pip fruit,grapes,root vegetables,herbs,yogurt,baking powder,seasonal products,pot plants,shopping bags",10,407,7,Huda,39,Gharbia,Cash
"ice cream,long life bakery product",2,1799,7,Huda,39,Gharbia,Credit
"sausage,whole milk,whipped/sour cream,pasta,pet care,fruit/vegetable juice",6,193,7,Huda,39,Gharbia,Cash
"pork,herbs,other vegetables,yogurt,domestic eggs,specialty bar,dishes",7,299,7,Huda,39,Gharbia,Cash
"frankfurter,pip fruit,root vegetables,curd,yogurt,UHT-milk,white bread,pastry,instant coffee,waffles,dish cleaner",11,365,7,Huda,39,Gharbia,Cash
"frankfurter,turkey,citrus fruit",3,1183,7,Huda,39,Gharbia,Credit
"UHT-milk,vinegar,waffles,chocolate",4,1129,7,Huda,39,Gharbia,Cash
"ham,chicken,citrus fruit,pip fruit,herbs,other vegetables,butter,napkins",8,1067,7,Huda,39,Gharbia,Cash
"hamburger meat,citrus fruit,packaged fruit/vegetables,rolls/buns,vinegar,cocoa drinks,specialty chocolate",7,796,7,Huda,39,Gharbia,Cash
"pork,other vegetables",2,1767,7,Huda,39,Gharbia,Credit
"turkey,whole milk,UHT-milk,fruit/vegetable juice",4,758,7,Huda,39,Gharbia,Credit
"tropical fruit,pasta,bottled water",3,103,7,Huda,39,Gharbia,Cash
"sausage,hamburger meat,whole milk,rolls/buns,oil,pickled vegetables,softener,hygiene articles",8,180,7,Huda,39,Gharbia,Cash
"sausage,citrus fruit,whole milk,cream cheese ,processed cheese,frozen vegetables,rolls/buns,pastry,fruit/vegetable juice,chewing gum",10,1483,7,Huda,39,Gharbia,Cash
"domestic eggs,specialty bar,seasonal products,shopping bags",4,909,7,Huda,39,Gharbia,Credit
"frankfurter,other vegetables,zwieback",3,2125,7,Huda,39,Gharbia,Credit
"sausage,tropical fruit,whole milk,yogurt,processed cheese,pastry,margarine,Instant food products,coffee,popcorn,house keeping products",11,621,7,Huda,39,Gharbia,Cash
bottled beer,1,1728,7,Huda,39,Gharbia,Cash
Instant food products,1,226,7,Huda,39,Gharbia,Cash
"soda,chocolate,specialty chocolate,newspapers,shopping bags",5,1397,7,Huda,39,Gharbia,Credit
"sausage,pork",2,909,7,Huda,39,Gharbia,Cash
"root vegetables,whole milk,butter,yogurt,whipped/sour cream,soft cheese,cream cheese ,domestic eggs,brown bread,jam,misc. beverages,fruit/vegetable juice,napkins,pot plants",14,467,7,Huda,39,Gharbia,Credit
"whole milk,yogurt,chocolate",3,1371,7,Huda,39,Gharbia,Credit
"ham,tropical fruit,grapes,onions,other vegetables,yogurt,whipped/sour cream,soft cheese,sliced cheese,frozen vegetables,white bread,pastry,semi-finished bread,oil,cat food,bottled water,fruit/vegetable juice,detergent,house keeping products",19,1269,7,Huda,39,Gharbia,Credit
"other vegetables,cream cheese ,coffee,dishes",4,1111,7,Huda,39,Gharbia,Cash
oil,1,1370,7,Huda,39,Gharbia,Credit
pip fruit,1,1508,7,Huda,39,Gharbia,Cash
"UHT-milk,coffee",2,1604,7,Huda,39,Gharbia,Cash
brandy,1,2428,7,Huda,39,Gharbia,Cash
yogurt,1,2201,7,Huda,39,Gharbia,Credit
"other vegetables,oil,margarine,dishes",4,305,7,Huda,39,Gharbia,Cash
"sausage,condensed milk,rolls/buns,coffee",4,869,7,Huda,39,Gharbia,Cash
