items,count,total,rnd,customer,age,city,paymentType
"whole milk,butter,yogurt,rice,abrasive cleaner",5,1771,3,Ahmed,30,Giza,Credit
whole milk,1,1538,3,Ahmed,30,Giza,Cash
"yogurt,beverages,bottled water,specialty bar",4,556,3,Ahmed,30,Giza,Cash
"root vegetables,other vegetables,whole milk,beverages,sugar",5,676,3,Ahmed,30,Giza,Credit
"red/blush wine,newspapers",2,1261,3,Ahmed,30,Giza,Credit
bottled water,1,906,3,Ahmed,30,Giza,Credit
"soda,misc. beverages",2,1324,3,Ahmed,30,Giza,Cash
"rolls/buns,fruit/vegetable juice",2,1025,3,Ahmed,30,Giza,Cash
"hamburger meat,whole milk,frozen vegetables,rolls/buns,bottled beer,sparkling wine",6,1928,3,Ahmed,30,Giza,Cash
misc. beverages,1,491,3,Ahmed,30,Giza,Cash
"whole milk,frozen vegetables",2,1084,3,Ahmed,30,Giza,Cash
"whole milk,rolls/buns,sugar,bottled water,soda",5,556,3,Ahmed,30,Giza,Credit
"tropical fruit,specialty cheese,bottled water",3,488,3,Ahmed,30,Giza,Cash
"other vegetables,bottled water,waffles,dishes,shopping bags",5,2459,3,Ahmed,30,Giza,Credit
other vegetables,1,564,3,Ahmed,30,Giza,Credit
"whole milk,mustard,bottled water",3,2326,3,Ahmed,30,Giza,Credit
"citrus fruit,whole milk,curd,dessert,yogurt,whipped/sour cream,frozen dessert,rolls/buns,salt,sugar,cereals,canned vegetables,canned fish,skin care,hygiene articles,napkins",16,1485,3,Ahmed,30,Giza,Cash
"hard cheese,rolls/buns,bottled water,newspapers",4,1175,3,Ahmed,30,Giza,Cash
"pip fruit,other vegetables,fruit/vegetable juice",3,1074,3,Ahmed,30,Giza,Credit
"root vegetables,whole milk,pet care,detergent",4,2260,3,Ahmed,30,Giza,Credit
"turkey,pip fruit,salad dressing,pastry",4,2356,3,Ahmed,30,Giza,Credit
"chicken,other vegetables,whole milk,vinegar,oil,bottled water,canned beer,napkins,newspapers",9,337,3,Ahmed,30,Giza,Credit
"salt,salty snack,cookware",3,1143,3,Ahmed,30,Giza,Cash
canned beer,1,1544,3,Ahmed,30,Giza,Cash
"onions,whole milk,beverages,frozen dessert",4,1007,3,Ahmed,30,Giza,Cash
specialty bar,1,313,3,Ahmed,30,Giza,Cash
"frankfurter,yogurt",2,1596,3,Ahmed,30,Giza,Cash
"other vegetables,whole milk,rolls/buns,margarine,bottled water,bottled beer",6,1148,3,Ahmed,30,Giza,Cash
"citrus fruit,tropical fruit,onions,other vegetables,shopping bags",5,131,3,Ahmed,30,Giza,Credit
rolls/buns,1,156,3,Ahmed,30,Giza,Cash
"pork,beef,hamburger meat,other vegetables,whole milk,frozen vegetables,rolls/buns,margarine,shopping bags",9,2175,3,Ahmed,30,Giza,Cash
