items,count,total,rnd,customer,age,city,paymentType
"citrus fruit,semi-finished bread,margarine,ready soups",4,1612,9,Maged,60,Hurghada,Cash
"tropical fruit,cream cheese ,processed cheese,detergent,newspapers",5,1215,9,Maged,60,Hurghada,Credit
"bottled water,canned beer",2,2384,15,Sameh,35,Hurghada,Cash
"berries,yogurt",2,443,15,Sameh,35,Hurghada,Cash
canned beer,1,1225,15,Sameh,35,Hurghada,Credit
"sausage,rolls/buns,cat food,newspapers",4,2276,9,Maged,60,Hurghada,Cash
canned beer,1,569,15,Sameh,35,Hurghada,Credit
"whole milk,yogurt,processed cheese,pickled vegetables,soda",5,114,9,Maged,60,Hurghada,Cash
"other vegetables,whole milk,rolls/buns,sugar",4,2142,9,Maged,60,Hurghada,Cash
"citrus fruit,whole milk,curd,butter milk,pastry",5,1390,9,Maged,60,Hurghada,Cash
"sausage,root vegetables,onions,yogurt,rolls/buns,brandy,detergent",7,2270,15,Sameh,35,Hurghada,Cash
"coffee,newspapers",2,1228,9,Maged,60,Hurghada,Credit
"frankfurter,sausage,root vegetables,other vegetables,rolls/buns,oil,pickled vegetables,bottled beer,chewing gum,dishes",10,1334,15,Sameh,35,Hurghada,Credit
"whole milk,dessert,frozen vegetables,rolls/buns,margarine,bottled water,red/blush wine,newspapers",8,1141,15,Sameh,35,Hurghada,Cash
"berries,whipped/sour cream",2,2104,15,Sameh,35,Hurghada,Cash
"hamburger meat,other vegetables,whole milk,frozen vegetables,domestic eggs,soda,dishes",7,924,15,Sameh,35,Hurghada,Credit
"frankfurter,sausage,citrus fruit,tropical fruit,pip fruit,whole milk,hard cheese,cream cheese ,domestic eggs,rice,sugar,canned fruit,misc. beverages,fruit/vegetable juice,hygiene articles",15,577,15,Sameh,35,Hurghada,Cash
"berries,soda",2,179,9,Maged,60,Hurghada,Credit
soda,1,892,15,Sameh,35,Hurghada,Credit
canned beer,1,1501,15,Sameh,35,Hurghada,Cash
"frankfurter,sausage,whole milk,rolls/buns,margarine",5,1479,15,Sameh,35,Hurghada,Cash
"other vegetables,misc. beverages,canned beer",3,1797,15,Sameh,35,Hurghada,Cash
"frankfurter,rolls/buns",2,2375,9,Maged,60,Hurghada,Cash
"hamburger meat,citrus fruit,onions,rolls/buns,bottled water,dental care",6,2344,9,Maged,60,Hurghada,Cash
"tropical fruit,other vegetables,packaged fruit/vegetables,whole milk,snack products",5,1721,15,Sameh,35,Hurghada,Cash
"whole milk,salt",2,1838,9,Maged,60,Hurghada,Credit
"dessert,ice cream",2,2292,15,Sameh,35,Hurghada,Cash
"other vegetables,bottled water",2,2047,9,Maged,60,Hurghada,Credit
dog food,1,1183,15,Sameh,35,Hurghada,Cash
"beverages,specialty bar",2,137,15,Sameh,35,Hurghada,Credit
newspapers,1,1378,9,Maged,60,Hurghada,Credit
"tropical fruit,berries,root vegetables,other vegetables,bottled water,shopping bags",6,437,15,Sameh,35,Hurghada,Cash
"other vegetables,whole milk,bottled water,soda,misc. beverages,bottled beer,red/blush wine,napkins",8,390,9,Maged,60,Hurghada,Cash
"pork,other vegetables,whipped/sour cream,rolls/buns,soda,shopping bags",6,620,15,Sameh,35,Hurghada,Cash
"root vegetables,other vegetables,yogurt",3,795,15,Sameh,35,Hurghada,Credit
canned beer,1,2163,15,Sameh,35,Hurghada,Cash
"tropical fruit,margarine,rum",3,1601,9,Maged,60,Hurghada,Cash
pasta,1,292,15,Sameh,35,Hurghada,Credit
"citrus fruit,tropical fruit",2,1692,15,Sameh,35,Hurghada,Cash
liquor (appetizer),1,622,15,Sameh,35,Hurghada,Cash
"frankfurter,beef,root vegetables,curd,dessert,yogurt,soft cheese,rolls/buns,mustard,pickled vegetables,canned beer,hygiene articles,napkins",13,979,15,Sameh,35,Hurghada,Credit
"tropical fruit,whole milk",2,1491,9,Maged,60,Hurghada,Cash
"frankfurter,other vegetables,yogurt,brown bread,bottled water",5,1564,9,Maged,60,Hurghada,Cash
"yogurt,mayonnaise,rolls/buns,soda,napkins",5,1912,15,Sameh,35,Hurghada,Cash
"curd,beverages,cream cheese ,rolls/buns,pastry,soda,cake bar,chewing gum",8,397,9,Maged,60,Hurghada,Credit
whole milk,1,2054,9,Maged,60,Hurghada,Cash
"berries,white bread",2,2133,15,Sameh,35,Hurghada,Credit
"other vegetables,butter milk,frozen meals,bottled water",4,830,15,Sameh,35,Hurghada,Credit
"sausage,tropical fruit,condensed milk,rolls/buns",4,2119,9,Maged,60,Hurghada,Credit
shopping bags,1,1660,9,Maged,60,Hurghada,Cash
"whole milk,butter milk,yogurt,sliced cheese,rolls/buns,sweet spreads,coffee,fruit/vegetable juice,long life bakery product,shopping bags",10,1516,15,Sameh,35,Hurghada,Credit
"bottled water,soda",2,615,9,Maged,60,Hurghada,Credit
salty snack,1,1376,15,Sameh,35,Hurghada,Cash
"citrus fruit,UHT-milk,cream cheese ,frozen vegetables",4,2074,15,Sameh,35,Hurghada,Credit
"dessert,oil,cat food,soda",4,966,15,Sameh,35,Hurghada,Credit
"rolls/buns,zwieback,bottled water,misc. beverages,bottled beer,canned beer,brandy",7,2236,9,Maged,60,Hurghada,Credit
"beef,tropical fruit,root vegetables,onions,other vegetables,instant coffee,soda",7,244,9,Maged,60,Hurghada,Credit
