items,count,total,rnd,customer,age,city,paymentType
"whole milk,cereals",2,343,5,Shimaa,55,Port Said,Cash
fruit/vegetable juice,1,184,5,Shimaa,55,Port Said,Cash
other vegetables,1,408,5,Shimaa,55,Port Said,Cash
"hamburger meat,other vegetables,rolls/buns,spices,bottled water,hygiene articles,napkins",7,1821,5,Shimaa,55,Port Said,Cash
"root vegetables,other vegetables,butter,curd,whipped/sour cream,UHT-milk,hard cheese,rolls/buns,bottled water,long life bakery product",10,2232,5,Shimaa,55,Port Said,Credit
"turkey,tropical fruit,other vegetables,curd,domestic eggs,brown bread,semi-finished bread,margarine,baking powder,fruit/vegetable juice",10,433,5,Shimaa,55,Port Said,Cash
"rolls/buns,oil,bottled water,chewing gum,chocolate marshmallow,hygiene articles,napkins",7,1372,5,Shimaa,55,Port Said,Credit
"sausage,whole milk,curd",3,975,5,Shimaa,55,Port Said,Cash
"citrus fruit,butter milk,yogurt,cream cheese ",4,2133,5,Shimaa,55,Port Said,Credit
detergent,1,1319,5,Shimaa,55,Port Said,Credit
"beef,citrus fruit,berries,root vegetables,brown bread,detergent",6,753,5,Shimaa,55,Port Said,Cash
"rolls/buns,Instant food products",2,321,5,Shimaa,55,Port Said,Credit
popcorn,1,1773,5,Shimaa,55,Port Said,Credit
"sausage,soft cheese,coffee",3,183,5,Shimaa,55,Port Said,Credit
"pork,beef,pip fruit,herbs,spices",5,572,5,Shimaa,55,Port Said,Credit
"condensed milk,sugar,coffee,shopping bags",4,378,5,Shimaa,55,Port Said,Cash
newspapers,1,1383,5,Shimaa,55,Port Said,Cash
canned beer,1,1102,5,Shimaa,55,Port Said,Cash
"sausage,whole milk,yogurt,rolls/buns,brown bread,pot plants",6,1339,5,Shimaa,55,Port Said,Cash
"sausage,pork,other vegetables,dessert,yogurt,oil,soda",7,656,5,Shimaa,55,Port Said,Credit
newspapers,1,143,5,Shimaa,55,Port Said,Credit
"onions,soda,chewing gum,chocolate,newspapers",5,565,5,Shimaa,55,Port Said,Credit
"bottled water,white wine",2,660,5,Shimaa,55,Port Said,Cash
hair spray,1,597,5,Shimaa,55,Port Said,Credit
"sausage,citrus fruit,yogurt,coffee,soda,canned beer,dishes",7,427,5,Shimaa,55,Port Said,Cash
"berries,root vegetables,other vegetables,curd,butter milk,cream cheese ,roll products ,margarine,misc. beverages,specialty chocolate,detergent",11,2180,5,Shimaa,55,Port Said,Cash
oil,1,1398,5,Shimaa,55,Port Said,Credit
"frankfurter,whole milk,butter milk",3,1520,5,Shimaa,55,Port Said,Cash
"frankfurter,sausage,root vegetables,yogurt,whipped/sour cream,pastry,napkins",7,2202,5,Shimaa,55,Port Said,Cash
yogurt,1,2080,5,Shimaa,55,Port Said,Cash
"rolls/buns,newspapers",2,945,5,Shimaa,55,Port Said,Credit
coffee,1,480,5,Shimaa,55,Port Said,Credit
canned beer,1,276,5,Shimaa,55,Port Said,Cash
"berries,pet care,cake bar,shopping bags",4,2005,5,Shimaa,55,Port Said,Credit
"sausage,other vegetables,curd,yogurt,whipped/sour cream,frozen vegetables,rolls/buns,roll products ",8,671,5,Shimaa,55,Port Said,Cash
"frankfurter,margarine,dental care",3,1316,5,Shimaa,55,Port Said,Credit
"bottled water,shopping bags",2,2336,5,Shimaa,55,Port Said,Cash
"pastry,bottled water",2,1855,5,Shimaa,55,Port Said,Credit
"pet care,bottled beer",2,1580,5,Shimaa,55,Port Said,Credit
"citrus fruit,spread cheese,rolls/buns,soda",4,1834,5,Shimaa,55,Port Said,Cash
"onions,fruit/vegetable juice",2,1648,5,Shimaa,55,Port Said,Cash
photo/film,1,2095,5,Shimaa,55,Port Said,Credit
canned beer,1,624,5,Shimaa,55,Port Said,Credit
"citrus fruit,frozen vegetables,rolls/buns,canned beer,salty snack",5,1800,5,Shimaa,55,Port Said,Cash
"rolls/buns,spices",2,1798,5,Shimaa,55,Port Said,Cash
"yogurt,bottled water",2,2238,5,Shimaa,55,Port Said,Cash
"pastry,coffee",2,423,5,Shimaa,55,Port Said,Cash
"rolls/buns,soda,fruit/vegetable juice,canned beer,white wine,long life bakery product,shopping bags",7,945,5,Shimaa,55,Port Said,Cash
"domestic eggs,rolls/buns,pastry,coffee,candles",5,1700,5,Shimaa,55,Port Said,Cash
"frankfurter,rolls/buns,soda,abrasive cleaner,newspapers,flower (seeds)",6,2172,5,Shimaa,55,Port Said,Cash
"beverages,rolls/buns",2,1975,5,Shimaa,55,Port Said,Cash
"canned beer,liquor (appetizer),chewing gum",3,814,5,Shimaa,55,Port Said,Credit
canned beer,1,1547,5,Shimaa,55,Port Said,Cash
"sausage,pork,beef,berries,root vegetables,whole milk,butter,rolls/buns,cat food,bottled water,newspapers",11,893,5,Shimaa,55,Port Said,Credit
"citrus fruit,tropical fruit,pip fruit",3,159,5,Shimaa,55,Port Said,Cash
"tropical fruit,berries,root vegetables,whole milk,butter,yogurt,whipped/sour cream,sliced cheese,hard cheese,specialty chocolate,napkins",11,1709,5,Shimaa,55,Port Said,Credit
"ice cream,rolls/buns",2,213,5,Shimaa,55,Port Said,Credit
"sugar,hygiene articles",2,1880,5,Shimaa,55,Port Said,Credit
white bread,1,1754,5,Shimaa,55,Port Said,Credit
"rolls/buns,soda",2,255,5,Shimaa,55,Port Said,Cash
"frankfurter,pork,white bread,canned vegetables,soda",5,893,5,Shimaa,55,Port Said,Cash
"sparkling wine,dish cleaner",2,1570,5,Shimaa,55,Port Said,Credit
"whole milk,pastry,detergent,candles",4,1775,5,Shimaa,55,Port Said,Cash
"sausage,citrus fruit,berries,other vegetables,whole milk,yogurt,whipped/sour cream,cream cheese ,frozen vegetables,domestic eggs,pastry,margarine,soups,canned fish,chocolate,candy,napkins",17,591,5,Shimaa,55,Port Said,Cash
"cream cheese ,margarine,tea",3,494,5,Shimaa,55,Port Said,Credit
"citrus fruit,berries,butter milk,yogurt",4,626,5,Shimaa,55,Port Said,Credit
"sausage,root vegetables,domestic eggs,dish cleaner",4,924,5,Shimaa,55,Port Said,Credit
"yogurt,whipped/sour cream,flour,margarine,sugar,baking powder,cat food,soda,fruit/vegetable juice,chocolate,hygiene articles,napkins,newspapers",13,974,5,Shimaa,55,Port Said,Credit
"sausage,finished products,tropical fruit,pip fruit,other vegetables,butter,curd,dessert,butter milk,yogurt,whipped/sour cream,soft cheese,frozen vegetables,rolls/buns,white bread,brown bread,pastry,pasta,soups,baby food,fruit/vegetable juice,salty snack,waffles,cake bar,chocolate,shopping bags",26,1818,5,Shimaa,55,Port Said,Credit
"ham,grapes,spread cheese,ice cream,frozen potato products,white bread,oil,pudding powder",8,2440,5,Shimaa,55,Port Said,Credit
"rolls/buns,coffee",2,1535,5,Shimaa,55,Port Said,Cash
"pork,whole milk,margarine,soda,canned beer,newspapers",6,921,5,Shimaa,55,Port Said,Credit
bottled beer,1,1813,5,Shimaa,55,Port Said,Credit
"liver loaf,root vegetables,pet care,waffles,chocolate",5,1508,5,Shimaa,55,Port Said,Credit
"root vegetables,rolls/buns,margarine,soda,bottled beer",5,1522,5,Shimaa,55,Port Said,Cash
"grapes,root vegetables",2,1363,5,Shimaa,55,Port Said,Cash
"frankfurter,root vegetables,other vegetables,whole milk,whipped/sour cream,sliced cheese,frozen meals,frozen dessert,flour,sugar,coffee,cleaner,shopping bags",13,1292,5,Shimaa,55,Port Said,Cash
"chicken,root vegetables,roll products ,vinegar,shopping bags",5,1231,5,Shimaa,55,Port Said,Credit
"ice cream,salty snack,waffles",3,1967,5,Shimaa,55,Port Said,Credit
"cream cheese ,dishes",2,322,5,Shimaa,55,Port Said,Cash
photo/film,1,2025,5,Shimaa,55,Port Said,Credit
UHT-milk,1,523,5,Shimaa,55,Port Said,Cash
salty snack,1,320,5,Shimaa,55,Port Said,Cash
canned beer,1,599,5,Shimaa,55,Port Said,Credit
"fish,dessert,yogurt,cling film/bags",4,1787,5,Shimaa,55,Port Said,Cash
"other vegetables,rolls/buns",2,2424,5,Shimaa,55,Port Said,Credit
"other vegetables,butter,pastry,napkins,dishes",5,399,5,Shimaa,55,Port Said,Cash
"condensed milk,coffee,napkins",3,1120,5,Shimaa,55,Port Said,Credit
"root vegetables,other vegetables,whole milk,rolls/buns,bottled water,dishes,newspapers",7,1787,5,Shimaa,55,Port Said,Credit
"sausage,root vegetables,other vegetables,whole milk,dessert,canned fruit,soda,snack products,waffles,shopping bags",10,635,5,Shimaa,55,Port Said,Credit
beverages,1,2392,5,Shimaa,55,Port Said,Cash
"pork,other vegetables,specialty fat",3,2432,5,Shimaa,55,Port Said,Cash
"chicken,other vegetables,whole milk,curd,ice cream,rolls/buns,sugar,soda,napkins,pot plants",10,1951,5,Shimaa,55,Port Said,Credit
"tropical fruit,berries,yogurt,soda,red/blush wine",5,176,5,Shimaa,55,Port Said,Cash
"yogurt,UHT-milk,domestic eggs,rolls/buns",4,2102,5,Shimaa,55,Port Said,Cash
"sausage,other vegetables,newspapers,shopping bags",4,1799,5,Shimaa,55,Port Said,Credit
"turkey,other vegetables,whole milk,oil,instant coffee,specialty bar",6,326,5,Shimaa,55,Port Said,Credit
"sausage,rolls/buns,soda,specialty bar",4,1320,5,Shimaa,55,Port Said,Credit
"beef,root vegetables,margarine,bottled water,soda",5,995,5,Shimaa,55,Port Said,Cash
"sausage,other vegetables,rolls/buns,soda",4,1212,5,Shimaa,55,Port Said,Cash
"meat,pork,onions,salad dressing,domestic eggs,white bread,flour,salt,bottled beer",9,2372,5,Shimaa,55,Port Said,Cash
rolls/buns,1,538,5,Shimaa,55,Port Said,Cash
"frankfurter,rolls/buns,fruit/vegetable juice",3,807,5,Shimaa,55,Port Said,Credit
"other vegetables,domestic eggs",2,378,5,Shimaa,55,Port Said,Cash
