items,count,total,rnd,customer,age,city,paymentType
"other vegetables,whole milk,condensed milk,long life bakery product",4,1182,14,Magdy,36,Sohag,Cash
fruit/vegetable juice,1,1760,14,Magdy,36,Sohag,Cash
"frankfurter,tropical fruit,rolls/buns,brown bread,sugar",5,688,14,Magdy,36,Sohag,Cash
"whole milk,butter,margarine,specialty fat,specialty chocolate,candles,flower (seeds)",7,1853,14,Magdy,36,Sohag,Credit
"pork,other vegetables,whipped/sour cream",3,563,14,Magdy,36,Sohag,Cash
"whole milk,yogurt,brown bread",3,1072,14,Magdy,36,Sohag,Cash
"citrus fruit,berries,UHT-milk,processed cheese",4,2162,14,Magdy,36,Sohag,Credit
specialty bar,1,2109,14,Magdy,36,Sohag,Credit
"tropical fruit,other vegetables,coffee",3,1622,14,Magdy,36,Sohag,Credit
"citrus fruit,butter,cream cheese ,white bread,oil,margarine,newspapers",7,1819,14,Magdy,36,Sohag,Cash
canned beer,1,1597,14,Magdy,36,Sohag,Credit
"curd,butter milk,cocoa drinks,salty snack,popcorn",5,2132,14,Magdy,36,Sohag,Credit
"curd,dessert,soda,salty snack,waffles,cake bar,chocolate,shopping bags",8,1873,14,Magdy,36,Sohag,Cash
"frankfurter,rolls/buns",2,1352,14,Magdy,36,Sohag,Cash
canned beer,1,1120,14,Magdy,36,Sohag,Credit
"citrus fruit,pastry",2,613,14,Magdy,36,Sohag,Cash
beverages,1,2209,14,Magdy,36,Sohag,Cash
white wine,1,974,14,Magdy,36,Sohag,Credit
chocolate,1,2030,14,Magdy,36,Sohag,Cash
"pickled vegetables,coffee",2,2385,14,Magdy,36,Sohag,Cash
root vegetables,1,1604,14,Magdy,36,Sohag,Credit
"citrus fruit,packaged fruit/vegetables,yogurt,bottled water",4,483,14,Magdy,36,Sohag,Credit
ice cream,1,163,14,Magdy,36,Sohag,Credit
"citrus fruit,pip fruit,beverages,hard cheese,pet care,soda,fruit/vegetable juice,waffles",8,1727,14,Magdy,36,Sohag,Cash
"other vegetables,butter,specialty chocolate",3,578,14,Magdy,36,Sohag,Credit
"berries,whipped/sour cream,cereals,waffles,shopping bags",5,1482,14,Magdy,36,Sohag,Cash
"pastry,fruit/vegetable juice",2,1806,14,Magdy,36,Sohag,Credit
"other vegetables,bottled water",2,939,14,Magdy,36,Sohag,Cash
"specialty cheese,frozen vegetables,coffee,soda,fruit/vegetable juice,salty snack",6,723,14,Magdy,36,Sohag,Credit
bottled beer,1,1183,14,Magdy,36,Sohag,Cash
chocolate,1,1011,14,Magdy,36,Sohag,Credit
"sausage,ham,other vegetables,ice cream,white bread",5,1481,14,Magdy,36,Sohag,Cash
"whole milk,butter,bottled water,bottled beer",4,1136,14,Magdy,36,Sohag,Credit
"yogurt,rolls/buns",2,1382,14,Magdy,36,Sohag,Credit
"bottled beer,liquor",2,1297,14,Magdy,36,Sohag,Credit
"bottled beer,nut snack",2,1513,14,Magdy,36,Sohag,Credit
whole milk,1,1379,14,Magdy,36,Sohag,Cash
"other vegetables,yogurt",2,111,14,Magdy,36,Sohag,Cash
misc. beverages,1,304,14,Magdy,36,Sohag,Credit
soda,1,847,14,Magdy,36,Sohag,Credit
canned beer,1,2173,14,Magdy,36,Sohag,Cash
"citrus fruit,tropical fruit,berries,root vegetables,other vegetables,whole milk,butter,bottled water,rubbing alcohol,hygiene articles,napkins",11,2461,14,Magdy,36,Sohag,Credit
"beverages,pastry,bottled water",3,2366,14,Magdy,36,Sohag,Cash
"beef,citrus fruit,other vegetables,rolls/buns",4,957,14,Magdy,36,Sohag,Credit
"citrus fruit,tropical fruit,grapes,other vegetables,frozen vegetables,pickled vegetables,fruit/vegetable juice,liquor,rum,liquor (appetizer),candy,cling film/bags",12,195,14,Magdy,36,Sohag,Cash
"tropical fruit,domestic eggs,rolls/buns,pastry",4,1575,14,Magdy,36,Sohag,Cash
"sausage,onions,curd,yogurt,domestic eggs,coffee",6,2165,14,Magdy,36,Sohag,Cash
